"ndc","doseFormRxcui","doseFormName","activeIngredientRxcui","activeIngredientName","numeratorUnit","numeratorValue","denominatorUnit","denominatorValue"
"51079006001","317541","Oral Tablet","2396","chlorothiazide","MG","250.0","EACH","1.0"
"904659961","317541","Oral Tablet","8076","perphenazine","MG","2.0","EACH","1.0"
"904105661","317541","Oral Tablet","18927","benztropine mesylate","MG","1.0","EACH","1.0"
"14789030002","1649574","Injection","18927","benztropine mesylate","MG","1.0","ML","1.0"
"603137859","316968","Oral Solution","6218","lactulose","MG","667.0","ML","1.0"
"54858516","316968","Oral Solution","30236","morphine sulfate","MG","2.0","ML","1.0"
"3037113","1649574","Injection","1112973","belatacept","MG","250.0","EACH","1.0"
"14789070002","1649574","Injection","8705","prochlorperazine edisylate","MG","5.0","ML","1.0"
"93731601","317541","Oral Tablet","42634","desmopressin acetate","MG","0.1","EACH","1.0"
"50242006101","1649574","Injection","253337","bevacizumab","MG","25.0","ML","1.0"
"49884067314","317541","Oral Tablet","47579","cabergoline","MG","0.5","EACH","1.0"
"378003201","317541","Oral Tablet","203191","metoprolol tartrate","MG","50.0","EACH","1.0"
"13811068130","317541","Oral Tablet","89013","aripiprazole","MG","10.0","EACH","1.0"
"832030300","317541","Oral Tablet","104728","chlorpromazine hydrochloride","MG","100.0","EACH","1.0"
"69853010101","1649574","Injection","2045114","andexanet alfa","MG","100.0","EACH","1.0"
"264751020","1649574","Injection","4850","glucose","MG","50.0","ML","1.0"
"54005746","316968","Oral Solution","3407","digoxin","MG","0.05","ML","1.0"
"63323048627","316949","Injectable Solution","142440","lidocaine hydrochloride","MG","20.0","ML","1.0"
"2714001","1649574","Injection","83929","abciximab","MG","2.0","ML","1.0"
"703441211","1649574","Injection","11203","vincristine sulfate","MG","1.0","ML","1.0"
"68180061407","316945","Extended Release Oral Tablet","221153","quetiapine fumarate","MG","200.0","EACH","1.0"
"59762371809","317541","Oral Tablet","10767","triazolam","MG","0.25","EACH","1.0"
"54868441101","1797831","Metered Dose Nasal Spray","19831","budesonide","MG","0.032","ACTUAT","1.0"
"51079028620","317541","Oral Tablet","3322","diazepam","MG","10.0","EACH","1.0"
"54868003404","317541","Oral Tablet","267036","metoclopramide hydrochloride","MG","10.0","EACH","1.0"
"68084009701","317541","Oral Tablet","83366","atorvastatin calcium","MG","10.0","EACH","1.0"
"406051201","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"49884078253","317541","Oral Tablet","236460","tizanidine hydrochloride","MG","2.0","EACH","1.0"
"172541346","317541","Oral Tablet","4450","fluconazole","MG","200.0","EACH","1.0"
"555059001","316995","Delayed Release Oral Capsule","3364","didanosine","MG","400.0","EACH","1.0"
"51079093020","317541","Oral Tablet","20352","carvedilol","MG","6.25","EACH","1.0"
"39822020501","316995","Delayed Release Oral Capsule","6406","lipase","UNT","5000.0","EACH","1.0"
"63323016505","316949","Injectable Solution","48933","dexamethasone sodium phosphate","MG","4.0","ML","1.0"
"63739020110","317541","Oral Tablet","8134","phenobarbital","MG","32.4","EACH","1.0"
"63323001201","1649574","Injection","7824","oxytocin","UNT","10.0","ML","1.0"
"68084007965","316965","Oral Capsule","25480","gabapentin","MG","100.0","EACH","1.0"
"68084087001","317541","Oral Tablet","114477","levetiracetam","MG","500.0","EACH","1.0"
"703443411","1649574","Injection","153329","irinotecan hydrochloride","MG","20.0","ML","1.0"
"53489014101","316945","Extended Release Oral Tablet","35220","quinidine gluconate","MG","324.0","EACH","1.0"
"63323040009","1649574","Injection","114477","levetiracetam","MG","100.0","ML","1.0"
"36000001101","1649574","Injection","2551","ciprofloxacin","MG","10.0","ML","1.0"
"93312501","316965","Oral Capsule","267257","dicloxacillin sodium","MG","500.0","EACH","1.0"
"51803000101","317541","Oral Tablet","8597","potassium iodide","MG","130.0","EACH","1.0"
"68462035801","317541","Oral Tablet","31448","nabumetone","MG","500.0","EACH","1.0"
"16729023993","1649574","Injection","228054","dexmedetomidine hydrochloride","MG","0.1","ML","1.0"
"63010002770","317541","Oral Tablet","266565","nelfinavir mesylate","MG","625.0","EACH","1.0"
"904589361","317541","Oral Tablet","203144","pravastatin sodium","MG","40.0","EACH","1.0"
"168020360","316983","Topical Lotion","797272","clindamycin phosphate","MG","10.0","ML","1.0"
"42023011801","316949","Injectable Solution","57227","trimethobenzamide hydrochloride","MG","100.0","ML","1.0"
"17772010315","316943","Extended Release Oral Capsule","38404","topiramate","MG","100.0","EACH","1.0"
"338269175","316949","Injectable Solution","103755","meperidine hydrochloride","MG","10.0","ML","1.0"
"68462015813","316942","Disintegrating Oral Tablet","203148","ondansetron hydrochloride","MG","8.0","EACH","1.0"
"378162693","317541","Oral Tablet","121243","voriconazole","MG","50.0","EACH","1.0"
"25021040030","316949","Injectable Solution","314659","heparin sodium, porcine","UNT","1000.0","ML","1.0"
"4631301","317541","Oral Tablet","7258","naproxen","MG","250.0","EACH","1.0"
"60687041094","317541","Oral Tablet","84158","methylergonovine maleate","MG","0.2","EACH","1.0"
"68188093190","106332","Medicated Shampoo","1388","lindane","MG","10.0","ML","1.0"
"173063302","317541","Oral Tablet","28439","lamotrigine","MG","25.0","EACH","1.0"
"24208058060","7670","Ophthalmic Solution","1870193","gentamicin sulfate","MG","3.0","ML","1.0"
"60505068104","1649574","Injection","236058","cefepime hydrochloride","MG","2000.0","EACH","1.0"
"64764011907","317541","Oral Tablet","2683","colchicine","MG","0.6","EACH","1.0"
"68516521402","1649574","Injection","828529","albumin human, USP","MG","50.0","ML","1.0"
"44567024010","1649574","Injection","236058","cefepime hydrochloride","MG","1000.0","EACH","1.0"
"2751101","316950","Injectable Suspension","314684","insulin lispro protamine, human","UNT","75.0","ML","1.0"
"50458030201","317541","Oral Tablet","35636","risperidone","MG","0.5","EACH","1.0"
"51079097320","317541","Oral Tablet","235743","metformin hydrochloride","MG","850.0","EACH","1.0"
"55150012150","1649574","Injection","221167","tazobactam sodium","MG","500.0","EACH","1.0"
"63739048910","317541","Oral Tablet","203136","ranitidine hydrochloride","MG","150.0","EACH","1.0"
"456045801","317541","Oral Tablet","10572","thyroid (USP)","MG","30.0","EACH","1.0"
"55513002304","721656","Prefilled Syringe","283838","darbepoetin alfa","MG","0.2","ML","1.0"
"51079013320","317541","Oral Tablet","203168","amitriptyline hydrochloride","MG","50.0","EACH","1.0"
"61553012011","1649574","Injection","7508","norepinephrine bitartrate","MG","1.0","ML","1.0"
"50419074701","317541","Oral Tablet","8628","praziquantel","MG","600.0","EACH","1.0"
"501410507","316985","Topical Ointment","5492","hydrocortisone","MG","0.01","MG","1.0"
"9347503","316950","Injectable Suspension","155323","methylprednisolone acetate","MG","80.0","ML","1.0"
"703951403","316949","Injectable Solution","10180","sulfamethoxazole","MG","80.0","ML","1.0"
"56047492","316965","Oral Capsule","195085","efavirenz","MG","200.0","EACH","1.0"
"173024956","317541","Oral Tablet","3407","digoxin","MG","0.25","EACH","1.0"
"49392083","1649574","Injection","353116","ziprasidone mesylate","MG","20.0","EACH","1.0"
"49281048901","1649574","Injection","29501","meningococcal group A polysaccharide","MG","0.1","ML","1.0"
"45152010","317541","Oral Tablet","82122","levofloxacin","MG","250.0","EACH","1.0"
"74227913","317541","Oral Tablet","38454","trandolapril","MG","2.0","EACH","1.0"
"68968449201","316945","Extended Release Oral Tablet","42351","lithium carbonate","MG","300.0","EACH","1.0"
"58790000228","316963","Ophthalmic Gel","491498","carboxymethylcellulose sodium","MG","0.01","MG","1.0"
"54002025","316945","Extended Release Oral Tablet","42351","lithium carbonate","MG","450.0","EACH","1.0"
"42457000184","1540455","Powder for Oral Solution","4885","glutamine","MG","5000.0","EACH","1.0"
"409272101","316949","Injectable Solution","314659","heparin sodium, porcine","UNT","10000.0","ML","1.0"
"61958170101","317541","Oral Tablet","1544460","idelalisib","MG","100.0","EACH","1.0"
"409386302","1649574","Injection","57529","foscarnet sodium","MG","24.0","ML","1.0"
"63323049527","316949","Injectable Solution","142440","lidocaine hydrochloride","MG","20.0","ML","1.0"
"70839015030","317541","Oral Tablet","732498","aliskiren hemifumarate","MG","150.0","EACH","1.0"
"49884003201","317541","Oral Tablet","91119","tranylcypromine sulfate","MG","10.0","EACH","1.0"
"54008013","317541","Oral Tablet","258494","exemestane","MG","25.0","EACH","1.0"
"904680861","317541","Oral Tablet","115713","montelukast sodium","MG","10.0","EACH","1.0"
"25152034","316965","Oral Capsule","140587","celecoxib","MG","100.0","EACH","1.0"
"186012201","1649574","Injection","203180","epinephrine bitartrate","MCG","5.0","ML","1.0"
"143176401","317541","Oral Tablet","1115","trihexyphenidyl hydrochloride","MG","2.0","EACH","1.0"
"63739022510","91058","Chewable Tablet","9796","simethicone","MG","80.0","EACH","1.0"
"63323024710","1649574","Injection","40144","levothyroxine sodium","MG","0.2","EACH","1.0"
"143314250","316965","Oral Capsule","23663","doxycycline hyclate","MG","100.0","EACH","1.0"
"67434604","316987","Transdermal System","9601","scopolamine","MG","0.0139","HR","1.0"
"42023015925","316949","Injectable Solution","3992","epinephrine","MG","1.0","ML","1.0"
"338004803","152903","Irrigation Solution","9863","sodium chloride","MEQ","0.154","ML","1.0"
"536407701","316943","Extended Release Oral Capsule","7393","niacin","MG","500.0","EACH","1.0"
"67544024715","317541","Oral Tablet","83366","atorvastatin calcium","MG","40.0","EACH","1.0"
"60758090810","7670","Ophthalmic Solution","221176","trimethoprim sulfate","MG","1.0","ML","1.0"
"50383077515","316956","Mucous Membrane Topical Solution","142440","lidocaine hydrochloride","MG","20.0","ML","1.0"
"60505083404","1649574","Injection","236058","cefepime hydrochloride","MG","1000.0","EACH","1.0"
"904150061","317541","Oral Tablet","6470","lorazepam","MG","0.5","EACH","1.0"
"57237001890","316995","Delayed Release Oral Capsule","476250","duloxetine hydrochloride","MG","30.0","EACH","1.0"
"58160096412","1649574","Injection","830457","rabies virus vaccine flury-lep strain","UNT","2.5","ML","1.0"
"54868410300","316949","Injectable Solution","1870193","gentamicin sulfate","MG","40.0","ML","1.0"
"54868563100","317541","Oral Tablet","644682","darunavir ethanolate","MG","300.0","EACH","1.0"
"54815624","317541","Oral Tablet","91104","codeine sulfate","MG","30.0","EACH","1.0"
"66302010101","316949","Injectable Solution","343048","treprostinil","MG","1.0","ML","1.0"
"58914050156","316978","Rectal Suppository","52582","mesalamine","MG","1000.0","EACH","1.0"
"52565000814","316985","Topical Ointment","6387","lidocaine","MG","0.05","MG","1.0"
"55513019201","1649574","Injection","338036","pegfilgrastim","MG","10.0","ML","1.0"
"51079057420","317541","Oral Tablet","91130","trifluoperazine hydrochloride","MG","5.0","EACH","1.0"
"67877045430","316965","Oral Capsule","28031","itraconazole","MG","100.0","EACH","1.0"
"91069520","317542","Rectal Foam","27197","hydrocortisone acetate","MG","100.0","ML","1.0"
"62584073401","317541","Oral Tablet","82027","hydralazine hydrochloride","MG","50.0","EACH","1.0"
"54855025","317541","Oral Tablet","287734","methotrexate sodium","MG","2.5","EACH","1.0"
"67512514","316987","Transdermal System","7407","nicotine","MG","0.583","HR","1.0"
"59676031001","1649574","Injection","105694","epoetin alfa","UNT","10000.0","ML","1.0"
"63739052510","317541","Oral Tablet","236081","valacyclovir hydrochloride","MG","500.0","EACH","1.0"
"409428202","316949","Injectable Solution","142440","lidocaine hydrochloride","MG","20.0","ML","1.0"
"51672126705","346171","Oral Paste","10761","triamcinolone acetonide","MG","0.001","MG","1.0"
"67457059304","721656","Prefilled Syringe","322154","fondaparinux sodium","MG","12.5","ML","1.0"
"55390010110","1649574","Injection","10369","terbutaline sulfate","MG","1.0","ML","1.0"
"74380511","316965","Oral Capsule","235224","terazosin hydrochloride","MG","1.0","EACH","1.0"
"187099395","316985","Topical Ointment","281","acyclovir","MG","0.05","MG","1.0"
"781328379","1649574","Injection","236234","gemcitabine hydrochloride","MG","1000.0","EACH","1.0"
"50419000233","316949","Injectable Solution","69634","sargramostim","MG","0.25","ML","1.0"
"47781047013","316965","Oral Capsule","259275","oseltamivir phosphate","MG","75.0","EACH","1.0"
"574010601","317541","Oral Tablet","142426","bromocriptine mesylate","MG","2.5","EACH","1.0"
"168003760","316969","Oral Suspension","7597","nystatin","UNT","100000.0","ML","1.0"
"61703036322","1649574","Injection","32592","oxaliplatin","MG","5.0","ML","1.0"
"7447120","317541","Oral Tablet","91119","tranylcypromine sulfate","MG","10.0","EACH","1.0"
"168008031","316982","Topical Cream","5492","hydrocortisone","MG","25.0","ML","1.0"
"43068011304","746839","Pack","73178","iloperidone","MG","6.0","EACH","1.0"
"44087152001","316949","Injectable Solution","203129","mitoxantrone hydrochloride","MG","2.0","ML","1.0"
"591079601","317541","Oral Tablet","9524","sulfasalazine","MG","500.0","EACH","1.0"
"24208048510","7670","Ophthalmic Solution","236065","dorzolamide hydrochloride","MG","20.0","ML","1.0"
"67877024201","317541","Oral Tablet","221153","quetiapine fumarate","MG","25.0","EACH","1.0"
"63459017714","1649574","Injection","27100","omacetaxine mepesuccinate","MG","3.5","EACH","1.0"
"67386031501","317541","Oral Tablet","21241","clobazam","MG","20.0","EACH","1.0"
"63323049237","316949","Injectable Solution","142440","lidocaine hydrochloride","MG","10.0","ML","1.0"
"51079075320","317541","Oral Tablet","10156","sucralfate","MG","1000.0","EACH","1.0"
"245006101","317541","Oral Tablet","24942","ferrous gluconate","MG","300.0","EACH","1.0"
"51079074220","316965","Oral Capsule","8356","piroxicam","MG","10.0","EACH","1.0"
"641601510","1649574","Injection","203211","diltiazem hydrochloride","MG","5.0","ML","1.0"
"63323061603","1649574","Injection","203114","amiodarone hydrochloride","MG","50.0","ML","1.0"
"182820289","317541","Oral Tablet","202693","labetalol hydrochloride","MG","100.0","EACH","1.0"
"143970310","1649574","Injection","82806","fosphenytoin sodium","MG","75.0","ML","1.0"
"173073001","316945","Extended Release Oral Tablet","203204","bupropion hydrochloride","MG","150.0","EACH","1.0"
"65293001410","1649574","Injection","6979","minocycline hydrochloride","MG","100.0","EACH","1.0"
"121481040","316969","Oral Suspension","7597","nystatin","UNT","100000.0","ML","1.0"
"50458057810","317541","Oral Tablet","1114195","rivaroxaban","MG","15.0","EACH","1.0"
"23782410","7670","Ophthalmic Solution","221176","trimethoprim sulfate","MG","1.0","ML","1.0"
"54569592800","744995","Dry Powder Inhaler","19831","budesonide","MG","0.18","ACTUAT","1.0"
"51991081901","316943","Extended Release Oral Capsule","82084","propranolol hydrochloride","MG","120.0","EACH","1.0"
"63323096010","1649574","Injection","384455","tigecycline","MG","50.0","EACH","1.0"
"43598020451","316969","Oral Suspension","831418","clavulanate potassium","MG","12.5","ML","1.0"
"338051141","1649574","Injection","1870193","gentamicin sulfate","MG","2.0","ML","1.0"
"55289005442","317541","Oral Tablet","235838","terbinafine hydrochloride","MG","250.0","EACH","1.0"
"143176901","317541","Oral Tablet","6058","isosorbide dinitrate","MG","5.0","EACH","1.0"
"51079074720","317541","Oral Tablet","203211","diltiazem hydrochloride","MG","90.0","EACH","1.0"
"93031801","317541","Oral Tablet","203211","diltiazem hydrochloride","MG","30.0","EACH","1.0"
"49348027734","316968","Oral Solution","82038","loperamide hydrochloride","MG","0.2","ML","1.0"
"44206031050","1649574","Injection","828529","albumin human, USP","MG","50.0","ML","1.0"
"2445385","316942","Disintegrating Oral Tablet","61381","olanzapine","MG","5.0","EACH","1.0"
"456224030","316943","Extended Release Oral Capsule","1433211","levomilnacipran hydrochloride","MG","40.0","EACH","1.0"
"168014231","316985","Topical Ointment","42790","miconazole nitrate","MG","0.02","MG","1.0"
"487950101","346161","Inhalation Solution","142153","albuterol sulfate","MG","0.83","ML","1.0"
"904674561","316965","Oral Capsule","10402","dronabinol","MG","2.5","EACH","1.0"
"904686061","10312","Delayed Release Oral Tablet","266856","divalproex sodium","MG","250.0","EACH","1.0"
"50458064165","317541","Oral Tablet","38404","topiramate","MG","100.0","EACH","1.0"
"39822105505","1649574","Injection","732","amphotericin B","MG","50.0","EACH","1.0"
"55513047810","316949","Injectable Solution","105694","epoetin alfa","UNT","20000.0","ML","1.0"
"46047081","316943","Extended Release Oral Capsule","82084","propranolol hydrochloride","MG","60.0","EACH","1.0"
"536302906","402499","Chewing Gum","31765","nicotine polacrilex","MG","2.0","EACH","1.0"
"409230521","1649574","Injection","203128","midazolam hydrochloride","MG","1.0","ML","1.0"
"61953000502","1649574","Injection","1426680","immunoglobulin G, human","MG","100.0","ML","1.0"
"68084035801","316965","Oral Capsule","9384","rifampin","MG","300.0","EACH","1.0"
"60432013325","316986","Topical Solution","21245","clobetasol propionate","MG","0.5","ML","1.0"
"46047181","316943","Extended Release Oral Capsule","82084","propranolol hydrochloride","MG","80.0","EACH","1.0"
"60505082306","126542","Nasal Spray","36118","salmon calcitonin","UNT","200.0","ACTUAT","1.0"
"59572041000","316965","Oral Capsule","342369","lenalidomide","MG","10.0","EACH","1.0"
"54396032840","316949","Injectable Solution","37859","testosterone enanthate","MG","200.0","ML","1.0"
"37000002404","1540456","Powder for Oral Suspension","8928","psyllium","MG","3400.0","EACH","1.0"
"63323066401","316949","Injectable Solution","1362","diphenhydramine hydrochloride","MG","50.0","ML","1.0"
"245005301","317541","Oral Tablet","24947","ferrous sulfate","MG","300.0","EACH","1.0"
"703841101","1649574","Injection","3829","enalaprilat","MG","1.25","ML","1.0"
"121177510","316968","Oral Solution","2672","codeine phosphate","MG","2.0","ML","1.0"
"186091542","317000","Inhalation Powder","19831","budesonide","MG","0.2","EACH","1.0"
"25021013283","1649574","Injection","82122","levofloxacin","MG","5.0","ML","1.0"
"68992301003","316945","Extended Release Oral Tablet","42316","tacrolimus","MG","1.0","EACH","1.0"
"17478028810","7670","Ophthalmic Solution","10600","timolol","MG","5.0","ML","1.0"
"536338101","10312","Delayed Release Oral Tablet","1596","bisacodyl","MG","5.0","EACH","1.0"
"78010901","1649574","Injection","3008","cyclosporine","MG","50.0","ML","1.0"
"228249710","316965","Oral Capsule","7417","nifedipine","MG","10.0","EACH","1.0"
"58281056301","1649574","Injection","1292","baclofen","MG","2.0","ML","1.0"
"45802046564","106332","Medicated Shampoo","6135","ketoconazole","MG","20.0","ML","1.0"
"68084003101","316965","Oral Capsule","203130","nortriptyline hydrochloride","MG","10.0","EACH","1.0"
"59366274201","346286","Topical Gel","1418","benzoyl peroxide","MG","0.025","MG","1.0"
"904020261","317541","Oral Tablet","203168","amitriptyline hydrochloride","MG","50.0","EACH","1.0"
"55566230000","316949","Injectable Solution","42634","desmopressin acetate","MG","0.004","ML","1.0"
"60687019001","317541","Oral Tablet","203144","pravastatin sodium","MG","40.0","EACH","1.0"
"54458087110","317541","Oral Tablet","6472","lovastatin","MG","20.0","EACH","1.0"
"51079087220","317541","Oral Tablet","4815","glyburide","MG","2.5","EACH","1.0"
"50383077933","316968","Oral Solution","6218","lactulose","MG","667.0","ML","1.0"
"9076502","316949","Injectable Solution","203189","methylprednisolone sodium succinate","MG","62.5","ML","1.0"
"58914078510","317541","Oral Tablet","11065","ursodiol","MG","250.0","EACH","1.0"
"78044205","316945","Extended Release Oral Tablet","203188","methylphenidate hydrochloride","MG","20.0","EACH","1.0"
"60977011501","1649574","Injection","30236","morphine sulfate","MG","25.0","ML","1.0"
"50242014501","1649574","Injection","1298944","pertuzumab","MG","30.0","ML","1.0"
"68084004501","317541","Oral Tablet","235830","paroxetine hydrochloride","MG","20.0","EACH","1.0"
"68220014015","317542","Rectal Foam","27197","hydrocortisone acetate","MG","100.0","ML","1.0"
"62856079701","1649574","Injection","397405","palonosetron hydrochloride","MG","0.05","ML","1.0"
"60687016301","316965","Oral Capsule","2231","cephalexin","MG","500.0","EACH","1.0"
"409798437","1649574","Injection","9863","sodium chloride","MG","9.0","ML","1.0"
"62584025901","317541","Oral Tablet","235743","metformin hydrochloride","MG","500.0","EACH","1.0"
"186074382","316995","Delayed Release Oral Capsule","7646","omeprazole","MG","40.0","EACH","1.0"
"60505076900","316949","Injectable Solution","203171","cefazolin sodium","MG","200.0","ML","1.0"
"67253020110","317541","Oral Tablet","203195","penicillin V potassium","MG","500.0","EACH","1.0"
"93077198","317541","Oral Tablet","203144","pravastatin sodium","MG","10.0","EACH","1.0"
"51079045020","317541","Oral Tablet","104416","amlodipine besylate","MG","2.5","EACH","1.0"
"62584081301","316965","Oral Capsule","7781","oxazepam","MG","15.0","EACH","1.0"
"555900942","317541","Oral Tablet","4124","ethinyl estradiol","MG","0.035","EACH","1.0"
"904401408","316969","Oral Suspension","733","ampicillin","MG","50.0","ML","1.0"
"641600710","316949","Injectable Solution","1808","bumetanide","MG","0.25","ML","1.0"
"168031230","316982","Topical Cream","142434","econazole nitrate","MG","10.0","ML","1.0"
"904652961","317541","Oral Tablet","115713","montelukast sodium","MG","10.0","EACH","1.0"
"51079042520","317541","Oral Tablet","25789","glimepiride","MG","2.0","EACH","1.0"
"64019053825","1861409","Tablet for Oral Suspension","218337","methadone hydrochloride","MG","40.0","EACH","1.0"
"68084035501","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"54327099","1797831","Metered Dose Nasal Spray","50121","fluticasone propionate","MCG","50.0","ACTUAT","1.0"
"56023416","316968","Oral Solution","27085","homatropine methylbromide","MG","0.3","ML","1.0"
"70121116801","316950","Injectable Suspension","10761","triamcinolone acetonide","MG","40.0","ML","1.0"
"63323056883","721656","Prefilled Syringe","221095","enoxaparin sodium","MG","100.0","ML","1.0"
"51079058820","316965","Oral Capsule","10510","thiothixene","MG","5.0","EACH","1.0"
"7323411","721656","Prefilled Syringe","322154","fondaparinux sodium","MG","12.5","ML","1.0"
"904563561","317541","Oral Tablet","235743","metformin hydrochloride","MG","850.0","EACH","1.0"
"409379301","1649574","Injection","28200","ketorolac tromethamine","MG","15.0","ML","1.0"
"51079093820","316965","Oral Capsule","235224","terazosin hydrochloride","MG","5.0","EACH","1.0"
"68084042301","317541","Oral Tablet","203177","hydromorphone hydrochloride","MG","2.0","EACH","1.0"
"597003112","316987","Transdermal System","2599","clonidine","MG","0.00417","HR","1.0"
"64406000801","1649574","Injection","354770","natalizumab","MG","20.0","ML","1.0"
"409798325","1649574","Injection","9863","sodium chloride","MG","9.0","ML","1.0"
"68016001129","317541","Oral Tablet","1191","aspirin","MG","325.0","EACH","1.0"
"54051744","316968","Oral Solution","30236","morphine sulfate","MG","20.0","ML","1.0"
"245014701","317541","Oral Tablet","203114","amiodarone hydrochloride","MG","200.0","EACH","1.0"
"597026010","1649574","Injection","4832","glucagon","MG","1.0","EACH","1.0"
"904585461","317541","Oral Tablet","5640","ibuprofen","MG","600.0","EACH","1.0"
"904653806","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"50111091501","317541","Oral Tablet","38413","torsemide","MG","5.0","EACH","1.0"
"78044805","317541","Oral Tablet","235758","benazepril hydrochloride","MG","10.0","EACH","1.0"
"338355148","1649574","Injection","66955","vancomycin hydrochloride","MG","5.0","ML","1.0"
"536623772","7670","Ophthalmic Solution","27334","hypromellose","MG","4.0","ML","1.0"
"59148064023","316942","Disintegrating Oral Tablet","89013","aripiprazole","MG","10.0","EACH","1.0"
"17478007031","91344","Ophthalmic Ointment","4053","erythromycin","MG","0.005","MG","1.0"
"338035104","1649574","Injection","6628","mannitol","MG","50.0","ML","1.0"
"57844052206","317541","Oral Tablet","103","mercaptopurine","MG","50.0","EACH","1.0"
"67457090210","1649574","Injection","4177","etomidate","MG","2.0","ML","1.0"
"43199001401","316945","Extended Release Oral Tablet","1225","hyoscyamine sulfate","MG","0.375","EACH","1.0"
"50268085215","317541","Oral Tablet","11248","vitamin B12","MG","0.1","EACH","1.0"
"51079098501","317541","Oral Tablet","203116","buspirone hydrochloride","MG","5.0","EACH","1.0"
"68084039665","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"6095228","317541","Oral Tablet","203160","losartan potassium","MG","50.0","EACH","1.0"
"574220120","316982","Topical Cream","10753","tretinoin","MG","1.0","ML","1.0"
"68084024101","317541","Oral Tablet","993491","midodrine hydrochloride","MG","5.0","EACH","1.0"
"83002730","317541","Oral Tablet","2002","carbamazepine","MG","200.0","EACH","1.0"
"8122214","316945","Extended Release Oral Tablet","734064","desvenlafaxine","MG","100.0","EACH","1.0"
"472011720","316982","Topical Cream","10753","tretinoin","MG","0.25","ML","1.0"
"51079025520","317541","Oral Tablet","203191","metoprolol tartrate","MG","25.0","EACH","1.0"
"63739053110","317541","Oral Tablet","52101","cyclobenzaprine hydrochloride","MG","10.0","EACH","1.0"
"67457023802","1649574","Injection","25102","fludarabine phosphate","MG","25.0","ML","1.0"
"69421030","317541","Oral Tablet","221161","sildenafil citrate","MG","50.0","EACH","1.0"
"59011045401","317541","Oral Tablet","203177","hydromorphone hydrochloride","MG","4.0","EACH","1.0"
"49999025130","316982","Topical Cream","7597","nystatin","UNT","100000.0","ML","1.0"
"66591091332","316968","Oral Solution","82063","oxycodone hydrochloride","MG","1.0","ML","1.0"
"60687024201","317541","Oral Tablet","155137","sertraline hydrochloride","MG","50.0","EACH","1.0"
"338350841","1649574","Injection","203171","cefazolin sodium","MG","2000.0","EACH","1.0"
"517260225","1649574","Injection","6585","magnesium sulfate","MG","500.0","ML","1.0"
"25021012250","1649574","Injection","236058","cefepime hydrochloride","MG","2000.0","EACH","1.0"
"143989001","316949","Injectable Solution","203148","ondansetron hydrochloride","MG","2.0","ML","1.0"
"904567861","317541","Oral Tablet","235830","paroxetine hydrochloride","MG","30.0","EACH","1.0"
"65162089903","317541","Oral Tablet","89013","aripiprazole","MG","15.0","EACH","1.0"
"50383031147","316968","Oral Solution","25480","gabapentin","MG","50.0","ML","1.0"
"69267041","316945","Extended Release Oral Tablet","7417","nifedipine","MG","90.0","EACH","1.0"
"59011010320","316945","Extended Release Oral Tablet","82063","oxycodone hydrochloride","MG","20.0","EACH","1.0"
